"latency","requestType","responseCode","startTime"
"0","GET","200","1601868444915"
"1","GET","200","1601868444976"
"1","GET","200","1601868444904"
"1","GET","200","1601868444913"
"1","GET","200","1601868444901"
"1","GET","200","1601868444911"
"1","GET","200","1601868444912"
"1","GET","200","1601868444903"
"1","GET","200","1601868444914"
"1","GET","200","1601868444956"
"1","GET","200","1601868444982"
"1","GET","200","1601868444983"
"2","GET","200","1601868444892"
"2","POST","201","1601868439587"
"2","POST","201","1601868438774"
"2","POST","201","1601868438776"
"2","POST","201","1601868438782"
"2","GET","200","1601868444911"
"2","GET","200","1601868444900"
"2","GET","200","1601868444913"
"2","GET","200","1601868444910"
"2","GET","200","1601868444912"
"2","GET","200","1601868444954"
"2","GET","200","1601868444975"
"2","POST","201","1601868443931"
"2","POST","201","1601868438477"
"2","GET","200","1601868444903"
"3","POST","201","1601868438771"
"3","POST","201","1601868438778"
"3","POST","201","1601868442216"
"3","GET","200","1601868444974"
"3","POST","201","1601868442215"
"3","GET","200","1601868444901"
"3","POST","201","1601868438478"
"3","GET","200","1601868444900"
"3","GET","200","1601868444893"
"3","POST","201","1601868442216"
"3","GET","200","1601868444961"
"3","POST","201","1601868438479"
"4","GET","200","1601868444968"
"4","GET","200","1601868444972"
"4","GET","200","1601868444887"
"4","GET","200","1601868444891"
"4","POST","201","1601868441507"
"4","GET","200","1601868444972"
"4","POST","201","1601868443112"
"4","GET","200","1601868444952"
"4","GET","200","1601868444969"
"4","GET","200","1601868444891"
"4","POST","201","1601868442216"
"4","POST","201","1601868438474"
"4","POST","201","1601868443113"
"4","GET","200","1601868444902"
"4","GET","200","1601868444970"
"4","GET","200","1601868444971"
"4","POST","201","1601868443113"
"4","GET","200","1601868444889"
"4","GET","200","1601868444899"
"5","GET","200","1601868444945"
"5","GET","200","1601868444962"
"5","GET","200","1601868444967"
"5","POST","201","1601868443112"
"5","GET","200","1601868444884"
"5","GET","200","1601868444899"
"5","POST","201","1601868443113"
"5","POST","201","1601868444886"
"5","POST","201","1601868443323"
"5","GET","200","1601868444906"
"5","GET","200","1601868444959"
"5","GET","200","1601868444966"
"5","GET","200","1601868444966"
"5","GET","200","1601868444977"
"5","GET","200","1601868444964"
"5","GET","200","1601868444968"
